file,sentiment,OLP
C:\Users\dario.marino5\Documents\R\proc-OLP_2010_0051 COM_COM(2010)0083_EN.docx,0.133824812773051,2010_0051
C:\Users\dario.marino5\Documents\R\proc-OLP_2010_0054 COM_COM(2010)0085_EN.docx,0.107336767846466,2010_0054
C:\Users\dario.marino5\Documents\R\proc-OLP_2010_0056 COM_COM(2010)0096_EN.docx,0.0203629687688454,2010_0056
C:\Users\dario.marino5\Documents\R\proc-OLP_2010_0059 COM_COM(2010)0102_EN.docx,0.129721909404942,2010_0059
C:\Users\dario.marino5\Documents\R\proc-OLP_2010_0063 COM_COM(2010)0117_EN.docx,0.131063177530895,2010_0063
C:\Users\dario.marino5\Documents\R\proc-OLP_2010_0064 COM_COM(2010)0094_EN.docx,0.0229789293269244,2010_0064
C:\Users\dario.marino5\Documents\R\proc-OLP_2010_0065 COM_COM(2010)0095_EN.docx,0.0191791049593907,2010_0065
C:\Users\dario.marino5\Documents\R\proc-OLP_2010_0073 COM_COM(2010)0132_EN.docx,0.0851615718382722,2010_0073
C:\Users\dario.marino5\Documents\R\proc-OLP_2010_0080 COM_COM(2010)0145_EN.docx,0.159822316310765,2010_0080
C:\Users\dario.marino5\Documents\R\proc-OLP_2010_0133 COM_COM(2010)0249_EN.docx,0.0817313200890412,2010_0133
C:\Users\dario.marino5\Documents\R\proc-OLP_2010_0147 COM_COM(2010)0273_EN.docx,0.0970849717290667,2010_0147
C:\Users\dario.marino5\Documents\R\proc-OLP_2010_0160 COM_COM(2010)0289_EN.docx,0.0860168752497249,2010_0160
C:\Users\dario.marino5\Documents\R\proc-OLP_2010_0162 COM_COM(2010)0302_EN.docx,0.177187215225405,2010_0162
C:\Users\dario.marino5\Documents\R\proc-OLP_2010_0171 COM_COM(2010)0309_EN.docx,0.0798276002648494,2010_0171
C:\Users\dario.marino5\Documents\R\proc-OLP_2010_0175 COM_COM(2010)0325_EN.docx,-0.0130606117698694,2010_0175
C:\Users\dario.marino5\Documents\R\proc-OLP_2010_0183 COM_COM(2010)0336_EN.docx,0.121066064615509,2010_0183
C:\Users\dario.marino5\Documents\R\proc-OLP_2010_0192 COM_COM(2010)0358_EN.docx,0.11680904653693,2010_0192
C:\Users\dario.marino5\Documents\R\proc-OLP_2010_0197 COM_COM(2010)0344_EN.docx,0.0684406074919258,2010_0197
C:\Users\dario.marino5\Documents\R\proc-OLP_2010_0199 COM_COM(2010)0371_EN.docx,0.103161487451084,2010_0199
C:\Users\dario.marino5\Documents\R\proc-OLP_2010_0204 COM_COM(2010)0377_EN.docx,0.0956893080268666,2010_0204
C:\Users\dario.marino5\Documents\R\proc-OLP_2010_0209 COM_COM(2010)0378_EN.docx,0.143136723868879,2010_0209
C:\Users\dario.marino5\Documents\R\proc-OLP_2010_0210 COM_COM(2010)0379_EN.docx,0.160951803676743,2010_0210
C:\Users\dario.marino5\Documents\R\proc-OLP_2010_0212 COM_COM(2010)0395_EN.docx,0.170493426322166,2010_0212
C:\Users\dario.marino5\Documents\R\proc-OLP_2010_0215 COM_COM(2010)0392_EN.docx,0.0948007870025147,2010_0215
C:\Users\dario.marino5\Documents\R\proc-OLP_2010_0232 COM_COM(2010)0433_EN.docx,0.141593398572336,2010_0232
C:\Users\dario.marino5\Documents\R\proc-OLP_2010_0246 COM_COM(2010)0473_EN.docx,0.0819233979134039,2010_0246
C:\Users\dario.marino5\Documents\R\proc-OLP_2010_0250 COM_COM(2010)0484_EN.docx,0.1239376338246,2010_0250
C:\Users\dario.marino5\Documents\R\proc-OLP_2010_0251 COM_COM(2010)0482_EN.docx,0.107111513030765,2010_0251
C:\Users\dario.marino5\Documents\R\proc-OLP_2010_0252 COM_COM(2010)0471_EN.docx,0.233977409314471,2010_0252
C:\Users\dario.marino5\Documents\R\proc-OLP_2010_0253 COM_COM(2010)0475_EN.docx,0.113058035934607,2010_0253
C:\Users\dario.marino5\Documents\R\proc-OLP_2010_0254 COM_COM(2010)0490_EN.docx,0.130489062728839,2010_0254
C:\Users\dario.marino5\Documents\R\proc-OLP_2010_0255 COM_COM(2010)0488_EN.docx,0.175547375618922,2010_0255
C:\Users\dario.marino5\Documents\R\proc-OLP_2010_0256 COM_COM(2010)0498_EN.docx,0.118950691561218,2010_0256
C:\Users\dario.marino5\Documents\R\proc-OLP_2010_0257 COM_COM(2010)0494_EN.docx,0.195398809851383,2010_0257
C:\Users\dario.marino5\Documents\R\proc-OLP_2010_0258 COM_COM(2010)0505_EN.docx,0.110909076210171,2010_0258
C:\Users\dario.marino5\Documents\R\proc-OLP_2010_0266 COM_COM(2010)0537_EN.docx,0.1767016348376,2010_0266
C:\Users\dario.marino5\Documents\R\proc-OLP_2010_0267 COM_COM(2010)0539_EN.docx,0.169841323103115,2010_0267
C:\Users\dario.marino5\Documents\R\proc-OLP_2010_0271 COM_COM(2010)0542_EN.docx,0.184399930542016,2010_0271
C:\Users\dario.marino5\Documents\R\proc-OLP_2010_0273 COM_COM(2010)0517_EN.docx,0.0623162604998803,2010_0273
C:\Users\dario.marino5\Documents\R\proc-OLP_2010_0275 COM_COM(2010)0521_EN.docx,0.117994160689058,2010_0275
C:\Users\dario.marino5\Documents\R\proc-OLP_2010_0279 COM_COM(2010)0525_EN.docx,0.0783264260847016,2010_0279
C:\Users\dario.marino5\Documents\R\proc-OLP_2010_0282 COM_COM(2010)0550_EN.docx,0.113882105795751,2010_0282
C:\Users\dario.marino5\Documents\R\proc-OLP_2010_0289 COM_COM(2010)0552(COR1)_EN.docx,0.0631495902907134,2010_0289
C:\Users\dario.marino5\Documents\R\proc-OLP_2010_0298 COM_COM(2010)0597_EN.docx,0.133553035095011,2010_0298
C:\Users\dario.marino5\Documents\R\proc-OLP_2010_0301 COM_COM(2010)0607_EN.docx,0.085853690101298,2010_0301
C:\Users\dario.marino5\Documents\R\proc-OLP_2010_0303 COM_COM(2010)0611_EN.docx,0.165433113446445,2010_0303
C:\Users\dario.marino5\Documents\R\proc-OLP_2010_0325 COM_COM(2010)0662_EN.docx,0.119377998579023,2010_0325
C:\Users\dario.marino5\Documents\R\proc-OLP_2010_0353 COM_COM(2010)0733_EN.docx,0.177196441429583,2010_0353
C:\Users\dario.marino5\Documents\R\proc-OLP_2010_0362 COM_COM(2010)0728_EN.docx,0.140076253096048,2010_0362
C:\Users\dario.marino5\Documents\R\proc-OLP_2010_0363 COM_COM(2010)0726_EN.docx,0.0916669179696527,2010_0363
C:\Users\dario.marino5\Documents\R\proc-OLP_2010_0364 COM_COM(2010)0759_EN.docx,0.0993375085840066,2010_0364
